Country Name,Country Code,Series Name,Series Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,ALB,Human capital (constant 2018 US$),NW.HCA.TO,44861001530.00 ,43430547992.00 ,37131131819.00 ,38792147742.00 ,42196257452.00 ,43611277219.00 ,47629933713.00 ,48529940024.00 ,52074804529.00 ,52251375959.00 ,54424482556.00 ,56861772240.00 ,59397609546.00 ,63436725070.00 ,66109242012.00 ,68056509547.00 ,68535249253.00 ,70752286970.00 ,71600306391.00 ,72487665594.00 ,73727868222.00 ,75716975793.00 ,78045555079.00 ,81214984640.00 
Albania,ALB,Human capital per capita (constant 2018 US$),NW.HCA.PC,14072.79 ,13708.99 ,11794.10 ,12399.48 ,13573.26 ,14118.13 ,15564.46 ,15906.19 ,17132.03 ,17262.12 ,18072.30 ,19001.13 ,19999.08 ,21523.57 ,22582.00 ,23362.86 ,23590.58 ,24393.97 ,24731.62 ,25090.02 ,25593.71 ,26326.26 ,27160.86 ,28333.68 
Albania,ALB,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,3468.86 ,3355.55 ,2869.00 ,3013.39 ,3259.89 ,3424.01 ,3783.82 ,3906.70 ,2016.02 ,2086.85 ,2222.12 ,2323.01 ,2465.25 ,2664.13 ,2825.34 ,2889.15 ,2848.52 ,2930.23 ,2954.27 ,2957.42 ,2987.54 ,3072.50 ,3178.42 ,3312.93 
Albania,ALB,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,6507.93 ,6353.74 ,5466.69 ,5901.07 ,6492.73 ,6872.02 ,7607.77 ,7820.39 ,10641.06 ,10969.67 ,11689.35 ,12268.48 ,13086.02 ,14232.03 ,15253.19 ,15789.92 ,15798.54 ,16473.60 ,16810.13 ,16991.38 ,17307.01 ,17817.10 ,18445.94 ,19245.19 
Albania,ALB,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,4893.01 ,4737.86 ,4059.32 ,4191.44 ,4536.97 ,4695.07 ,5169.88 ,5298.90 ,2728.79 ,2759.04 ,2886.74 ,3025.04 ,3170.33 ,3393.76 ,3529.14 ,3613.61 ,3603.69 ,3683.81 ,3696.74 ,3719.61 ,3767.63 ,3872.14 ,3992.19 ,4161.14 
Albania,ALB,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,9179.78 ,8971.14 ,7734.78 ,8208.04 ,9036.29 ,9423.06 ,10394.58 ,10607.29 ,14403.24 ,14503.08 ,15185.56 ,15976.09 ,16828.75 ,18129.81 ,19052.86 ,19749.26 ,19986.89 ,20710.16 ,21034.87 ,21370.41 ,21826.08 ,22454.12 ,23168.67 ,24172.54 
Albania,ALB,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,1424.15 ,1382.31 ,1190.32 ,1178.05 ,1277.08 ,1271.06 ,1386.06 ,1392.20 ,712.77 ,672.19 ,664.62 ,702.03 ,705.08 ,729.63 ,703.81 ,724.46 ,755.17 ,753.58 ,742.47 ,762.19 ,780.08 ,799.64 ,813.77 ,848.21 
Albania,ALB,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,2671.85 ,2617.40 ,2268.09 ,2306.96 ,2543.56 ,2551.04 ,2786.81 ,2786.90 ,3762.18 ,3533.42 ,3496.21 ,3707.61 ,3742.73 ,3897.78 ,3799.67 ,3959.33 ,4188.35 ,4236.55 ,4224.74 ,4379.03 ,4519.07 ,4637.01 ,4722.72 ,4927.36 
Albania,ALB,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,11057968846.00 ,10630490144.00 ,9032409744.00 ,9427482773.00 ,10134283256.00 ,10576850597.00 ,11579145471.00 ,11919378871.00 ,6127927509.00 ,6316754620.00 ,6691871808.00 ,6951725462.00 ,7321826900.00 ,7852015430.00 ,8271223574.00 ,8416154218.00 ,8275514831.00 ,8498855017.00 ,8552892312.00 ,8544294516.00 ,8606228522.00 ,8836831558.00 ,9133043211.00 ,9496094239.00 
Albania,ALB,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,20745879059.00 ,20128847780.00 ,17210681107.00 ,18461682096.00 ,20184457407.00 ,21227852636.00 ,23281094708.00 ,23860096291.00 ,32344748509.00 ,33204507818.00 ,35202325048.00 ,36713991953.00 ,38865705456.00 ,41946254961.00 ,44654009166.00 ,45996372139.00 ,45897852692.00 ,47780053586.00 ,48666884573.00 ,49089868975.00 ,49856362765.00 ,51243789240.00 ,53003628501.00 ,55163947367.00 
